row_num,Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date
1,AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,76000,2025-04-17
2,Delhivery,Enterprise,Analytics,Chennai,"Kalaari Capital, LCatterton, Zodius Capital",Angel,29000,2023-10-07
3,HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000,2024-06-01
4,FreshBox,Consumer Electronics,Audio,Delhi,"Kalaari Capital, Prosus Ventures, Sequoia Capital India",Angel,8000,2022-06-06
5,DriveFit_560,Consumer Electronics,Audio,Gurugram,"Nexus Venture Partners, Zodius Capital",Angel,41000,2021-05-27
6,EduMart,SaaS,B2B SaaS,Mumbai,Peak XV,Angel,50000,2023-07-29
7,Ola,SaaS,B2B SaaS,Kolkata,"A91 Partners, Kalaari Capital, SoftBank Vision Fund",Angel,14000,2020-10-12
8,NextSense,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, IFC, Nexus Venture Partners",Angel,15000,2023-03-04
9,NimbusMart,EdTech,Coding Bootcamp,Pune,Blume Ventures,Angel,16000,2024-09-27
10,Postman,Media,Content,Hyderabad,Zodius Capital,Angel,17000,2020-02-11
11,Zepto,Media,Content,Mumbai,SoftBank Vision Fund,Angel,5000,2021-02-07
12,NeoLabs,Media,Content,Gurugram,"SoftBank Vision Fund, Tiger Global",Angel,53000,2024-04-18
13,Ola,Media,Content,Hyderabad,Bessemer Venture Partners,Angel,99000,2021-03-05
14,Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,24000,2021-04-06
15,Chargebee,Retail,E-Retail,Kolkata,Tiger Global Management,Angel,84000,2020-11-15
16,FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,46000,2021-09-04
17,FinFoods,E-commerce,Fashion,Bengaluru,"Bessemer Venture Partners, Info Edge, Omidyar Network",Angel,15000,2024-09-11
18,AeroAnalytics,E-commerce,Fashion,Delhi,LCatterton,Angel,77000,2023-01-09
19,AgriFit,Retail,Fashion,Hyderabad,"Accel, IFC, Omidyar Network",Angel,10000,2024-10-13
20,CloudPay,Logistics,Fleet Management,Noida,Prosus Ventures,Angel,6000,2022-05-30
21,AgriSense,FoodTech,Food Delivery,Ahmedabad,Elevation Capital,Angel,27000,2024-04-10
22,HealthAnalytics_1095,FoodTech,Food Delivery,Pune,"Lightspeed India, Mirae Asset, Prosus Ventures",Angel,8000,2020-11-24
23,LogiMart,E-commerce,Grocery,Pune,"Blume Ventures, Tiger Global, Y Combinator",Angel,16000,2024-04-04
24,CloudSolutions_682,E-commerce,Grocery,Delhi,Prosus Ventures,Angel,8000,2024-02-22
25,UrbanStack,E-commerce,Grocery,Gurugram,"Falcon Edge, Mirae Asset, Y Combinator",Angel,9000,2020-09-15
26,ClearDekho,SaaS,HRTech,Kolkata,"Bessemer Venture Partners, Prosus Ventures",Angel,33000,2025-06-08
27,BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,26000,2020-04-23
28,Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,81000,2023-08-13
29,MediSpace,SaaS,MarTech,Gurugram,"Matrix Partners India, Tiger Global",Angel,10000,2023-06-10
30,Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,12000,2021-04-29
31,AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000,2024-03-06
32,FoodLoop,AgriTech,Marketplace,Pune,"Kedaara Capital, Mirae Asset",Angel,25000,2023-06-12
33,GreenMart,E-commerce,Marketplace,Ahmedabad,"Kalaari Capital, Ventures India",Angel,81000,2020-11-11
34,FinSense,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Angel,17000,2022-12-04
35,NeoTech,Mobility,Micro Mobility,Noida,"Prosus Ventures, Y Combinator",Angel,20000,2022-07-14
36,DriveLoop,FinTech,NeoBank,Mumbai,Falcon Edge,Angel,6000,2022-11-17
37,AgriHive,FinTech,Payments,Mumbai,"Nexus Venture Partners, Prosus Ventures",Angel,14000,2024-09-06
38,FinSense,HealthTech,Pharmacy,Pune,"Matrix Partners India, Ventures India",Angel,32000,2025-05-10
39,HealthAnalytics,HealthTech,Pharmacy,Ahmedabad,Omidyar Network,Angel,99000,2023-04-14
40,Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,6000,2021-08-20
41,Cars24,RealEstate,PropTech,Gurugram,"Nexus Venture Partners, Y Combinator",Angel,18000,2022-04-22
42,SmartCare,E-commerce,Quick Commerce,Gurugram,"Kedaara Capital, Y Combinator",Angel,18000,2022-11-30
43,Meesho,RealEstate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,26000,2023-06-15
44,SmartMart,RealEstate,Rental Tech,Delhi,"Accel, Mirae Asset, Ribbit Capital",Angel,21000,2022-12-15
45,HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000,2021-01-24
46,Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000,2024-08-19
47,Groww,Mobility,Ride Sharing,Pune,"A91 Partners, IFC",Angel,46000,2020-09-27
48,Myntra,Mobility,Ride Sharing,Mumbai,"Omidyar Network, SoftBank Vision Fund",Angel,9000,2024-01-17
49,AutoStack,Enterprise,Security,Gurugram,"A91 Partners, Ribbit Capital, Ventures India",Angel,7000,2023-12-14
50,DataHive,AgriTech,Smart Farming,Bengaluru,"LCatterton, Omidyar Network, Sequoia Capital India",Angel,18000,2020-09-30
51,Unacademy,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Angel,19000,2023-12-18
52,EduTech,Media,Streaming,Pune,SoftBank Vision Fund,Angel,23000,2020-07-09
53,Zepto,Media,Streaming,Bengaluru,IFC,Angel,69000,2024-05-08
54,CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000,2022-11-05
55,DriveFit,Logistics,Supply Chain,Mumbai,Elevation Capital,Angel,25000,2024-03-29
56,MediHive,AgriTech,Supply Chain,Chennai,"LCatterton, Prosus Ventures",Angel,23000,2021-05-19
57,AeroHub,AgriTech,Supply Chain,Noida,"Blume Ventures, Info Edge",Angel,12000,2024-11-29
58,Licious,HealthTech,Telemedicine,Mumbai,"IFC, Mirae Asset, Sequoia Capital India",Angel,67000,2023-10-16
59,NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,10000,2021-09-10
60,CloudSolutions_576,EdTech,Test Prep,Bengaluru,"Accel, LCatterton, Mirae Asset",Angel,8000,2021-03-03
61,EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000,2021-02-01
